#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 09 05 50 157  7.8  9.3  1.18  6.67  4.87  71 1030.6  18.4  23.7  12.1 99.0 99.00
2017 01 09 06 50 155  7.4  9.2  1.16  7.14  4.75  71 1029.7  18.8  23.8  12.4 99.0 99.00
2017 01 09 07 50 157  6.6  8.2  1.19  7.69  4.71  70 1029.5  19.1  24.0  12.8 99.0 99.00
2017 01 09 08 50 157  7.2  9.1  1.22  6.67  4.80  69 1028.8  19.3  24.3  13.0 99.0 99.00
2017 01 09 09 50 166  7.2  8.9  1.18  6.67  4.63  63 1027.9  19.5  24.5  13.6 99.0 99.00
2017 01 09 10 50 160  6.3  7.5  1.19  7.14  4.68  69 1027.7  19.7  24.8  14.1 99.0 99.00
2017 01 09 11 50 186  6.9  8.4  1.06  7.14  4.65  74 1027.3  20.1  24.5  14.6 99.0 99.00
2017 01 09 12 50 172  6.8  8.1  1.12  4.55  4.70 117 1027.3  20.4  24.1  14.8 99.0 99.00
2017 01 09 13 50 210  5.0  6.1  1.12  4.76  4.55 113 1028.0  19.9  24.0  16.3 99.0 99.00
2017 01 09 14 50 218  4.9  5.7  1.08  6.67  4.61  65 1028.4  19.1  23.9  15.5 99.0 99.00
2017 01 09 15 50 224  2.7  3.7  1.09  5.00  4.64 128 1029.0  19.0  24.0  15.1 99.0 99.00
2017 01 09 16 50 218  2.5  4.2  1.10  5.00  4.80 130 1028.7  19.1  24.2  15.2 99.0 99.00
2017 01 09 17 50 212  2.9  3.8  1.18  5.56  5.03 120 1027.8  19.1  24.0  15.2 99.0 99.00
2017 01 09 18 50 212  2.5  3.4  1.10  5.88  5.03 119 1026.5  19.0  24.3  15.3 99.0 99.00
2017 01 09 19 50 194  2.9  3.6  1.05  5.56  5.02 121 1025.3  19.2  26.0  15.5 99.0 99.00
2017 01 09 20 50 172  3.3  4.1  0.99  5.56  4.89 136 1024.3  19.4 999.0  15.8 99.0 99.00
2017 01 09 21 50 184  3.5  4.3  1.17  5.88  5.11 129 1024.1  20.0 999.0  16.2 99.0 99.00
2017 01 09 22 50 175  5.4  6.4  1.34  5.88  5.34 132 1023.6  20.4 999.0  16.4 99.0 99.00
2017 01 09 23 50 183  4.5  5.1  1.27  5.88  5.16 126 1023.5  20.4 999.0  16.9 99.0 99.00
2017 01 10 00 50 179  4.4  5.4  1.29  5.88  5.08 131 1023.5  20.7 999.0  17.3 99.0 99.00
2017 01 10 01 50 184  6.3  7.6  1.37  5.88  5.06 124 1023.8  21.5 999.0  17.8 99.0 99.00
